Trimestre,Setor,Estoque,Estoque_Nacional
2016q3,Serviços Imobiliários,527956.70925566985,89821449.169341519
2016q3,Transporte,4524808.5033592582,89821449.169341519
2016q4,APU,15221547.280341996,90174162.802719325
2016q4,Comércio,2819292.092452229,90174162.802719325
2016q4,Intermediação Financeira,1265138.8682845102,90174162.802719325
2016q4,Outros Serviços,10351255.478499362,90174162.802719325
2016q4,Serviço de Informação,1367003.7455943502,90174162.802719325
2016q4,Serviços Imobiliários,575177.76041788,90174162.802719325
2016q4,Transporte,4639659.7424617689,90174162.802719325
2017q1,APU,14743344.719438286,88845949.03605026
2017q1,Comércio,2780082.2627686807,88845949.03605026
2017q1,Intermediação Financeira,1277188.4823583104,88845949.03605026
2017q1,Outros Serviços,10191155.769683072,88845949.03605026
2017q1,Serviço de Informação,1323313.0899352995,88845949.03605026
2017q1,Serviços Imobiliários,590594.10449337,88845949.03605026
2017q1,Transporte,4529426.4300382314,88845949.03605026
2017q2,APU,15247365.271338729,90193102.072197154
2017q2,Comércio,2732622.84412077,90193102.072197154
2017q2,Intermediação Financeira,1197295.3626802398,90193102.072197154
2017q2,Outros Serviços,10483475.909527678,90193102.072197154
2017q2,Serviço de Informação,1315780.5797316504,90193102.072197154
2017q2,Serviços Imobiliários,543429.0448209598,90193102.072197154
2017q2,Transporte,4648094.2546511684,90193102.072197154
2017q3,APU,15489465.252918454,91268206.792767525
2017q3,Comércio,2811012.6508655404,91268206.792767525
2017q3,Intermediação Financeira,1254775.5078625688,91268206.792767525
2017q3,Outros Serviços,10601429.821101757,91268206.792767525
2017q3,Serviço de Informação,1425663.1607004,91268206.792767525
2017q3,Serviços Imobiliários,562298.10761062009,91268206.792767525
2017q3,Transporte,4647191.14138671,91268206.792767525
2017q4,APU,15497595.987560794,92228431.962752208
2017q4,Comércio,2869726.87932557,92228431.962752208
2017q4,Intermediação Financeira,1284670.5092220795,92228431.962752208
2017q4,Outros Serviços,10969496.061237978,92228431.962752208
2017q4,Serviço de Informação,1355450.10155675,92228431.962752208
2017q4,Serviços Imobiliários,551108.52802607021,92228431.962752208
2017q4,Transporte,4597623.8732517688,92228431.962752208
2018q1,APU,15270951.41840555,90878795.521422073
2018q1,Comércio,2890848.75659732,90878795.521422073
2018q1,Intermediação Financeira,1264703.1034606202,90878795.521422073
2018q1,Outros Serviços,10797812.779423306,90878795.521422073
2018q1,Serviço de Informação,1324201.0092092599,90878795.521422073
2018q1,Serviços Imobiliários,545293.38256219,90878795.521422073
2018q1,Transporte,4659374.57788824,90878795.521422073
2018q2,APU,15813204.873632038,91461714.780269369
2018q2,Comércio,2759069.9517886494,91461714.780269369
2018q2,Intermediação Financeira,1256022.9247005198,91461714.780269369
2018q2,Outros Serviços,10844833.380584218,91461714.780269369
2018q2,Serviço de Informação,1330657.1457969307,91461714.780269369
2018q2,Serviços Imobiliários,568648.37958224025,91461714.780269369
2018q2,Transporte,4705942.7653229,91461714.780269369
2018q3,APU,16024926.221442146,92929736.252159566
2018q3,Comércio,2792240.32629078,92929736.252159566
2018q3,Intermediação Financeira,1275937.9452500504,92929736.252159566
2018q3,Outros Serviços,11086191.463324,92929736.252159566
2018q3,Serviço de Informação,1412537.0508246305,92929736.252159566
2018q3,Serviços Imobiliários,600926.34671803,92929736.252159566
2018q3,Transporte,4653455.107401,92929736.252159566
2018q4,APU,16099616.047078213,93533927.174106076
2018q4,Comércio,2859362.3230881095,93533927.174106076
2018q4,Intermediação Financeira,1271019.2899449195,93533927.174106076
2018q4,Outros Serviços,11110577.248206479,93533927.174106076
2018q4,Serviço de Informação,1401091.1491347798,93533927.174106076
2018q4,Serviços Imobiliários,583301.15950517973,93533927.174106076
2018q4,Transporte,4830772.1963423407,93533927.174106076
2019q1,APU,15748579.221075507,92621208.364936069
