Trimestre,Setor,Produtividade_Hora_Habitual,Investimento_Tech_USD,VAB_Industria_Volume,Share_it,Bartik_Tech_it,Stringency_Index
2017q2,Comércio,5.811016120815391,2291272951,0.3,0.030297470442178367,69419774.5078853,0.0
2017q3,Comércio,6.219077343946774,2452100304,0.3,0.030799472780792016,75523396.56881982,0.0
2017q4,Comércio,6.093050124283714,2647083792,1.1,0.031115425235512525,82365137.82211299,0.0
2018q1,Comércio,5.820831685439718,2489705612,0.5,0.03180993696066191,79197378.56832618,0.0
2018q2,Comércio,5.932615973339941,2640118823,-1.6,0.03016639211736987,79642859.65106702,0.0
2018q3,Comércio,6.249800883692882,2587367295,1.1,0.030046790606552402,77742083.3351069,0.0
2018q4,Comércio,6.104867195381118,2491772963,-0.5,0.030570322550079937,76174303.2004784,0.0
2019q1,Comércio,5.7776497604191235,2532575122,-0.9,0.030216790447700086,76526291.75453249,0.0
2019q2,Comércio,5.942878844021746,2565062774,0.6,0.03003023613094413,77029440.79391457,0.0
2019q3,Comércio,6.334405611428471,2376642871,0.2,0.030415755407959783,72287388.25640732,0.0
2019q4,Comércio,6.189200037745078,2503083604,0.1,0.03044443896206362,76204975.99892023,0.0
2020q1,Comércio,5.979222353980856,2357524519,-1.9,0.03100219608350925,73088437.40971883,16.942967032967033
2020q2,Comércio,5.947771864316669,2014228419,-11.8,0.030544742845519446,61524089.0904922,77.64978021978023
2020q3,Comércio,7.296456331094155,2690365501,15.4,0.03128199385930072,84159997.08155651,73.7641304347826
2020q4,Comércio,7.12445213754089,2803870802,2.5,0.03132989084237088,87844966.1627709,61.44369565217391
2021q1,Comércio,6.68877847521496,2671732039,1.7,0.03084106587362911,82399063.81148443,69.496
2021q2,Comércio,6.620746643857222,2580148771,-1.6,0.031041892940317534,80092701.91947386,62.87582417582417
2021q3,Comércio,6.548496249153142,2795427895,-1.1,0.03092056869008338,86436220.2455227,55.25532608695652
2021q4,Comércio,6.282108054969037,2907096620,-2.7,0.030521495033697072,88728935.04980755,51.5175
2022q1,Comércio,5.802089877667544,2938566873,3.3,0.031713621815850114,93192598.49090725,37.565666666666665
2022q2,Comércio,5.867670206024053,3216294182,1.5,0.03146497639775527,101200620.5248676,29.496923076923075
2022q3,Comércio,6.1671829547579256,3079200592,0.5,0.03141862986313926,96744263.67440729,24.421739130434784
2022q4,Comércio,6.065555906963612,2866615674,-0.6,0.030712051068431275,88039646.97345354,22.22
2023q1,Comércio,5.744602016716882,2711131832,0.2,0.030810250941111922,83530652.07835649,0.0
2023q2,Comércio,5.983523984125614,2544826275,0.9,0.03122340500264992,79458141.44570996,0.0
2023q3,Comércio,6.322320455039056,2556798065,0.7,0.031147320636939403,79637409.13446124,0.0
2023q4,Comércio,6.072798374939785,2532091527,1.5,0.03138836647591192,79478216.80002743,0.0
2024q1,Comércio,5.849036596647578,2844413599,0.6,0.031043229491213686,88299784.12168606,0.0
2024q2,Comércio,6.049778604681248,2904596545,0.5,0.03166657239790305,91978616.77894156,0.0
2024q3,Comércio,6.3747385713978675,3303829108,0.7,0.03209829386527263,106047277.58922555,0.0
2024q4,Comércio,6.178362191131488,2902963725,0.4,0.03165875288965176,91904211.21739799,0.0
2025q1,Comércio,5.82068373181038,2941039990,0.1,0.03166337050826678,93123238.88299923,0.0
2025q2,Comércio,5.926894091437871,2751417297,0.6,0.03221920621212193,88648481.26764214,0.0
2025q3,Comércio,6.426736229583584,3149891124,0.6,0.03266396079157807,102887920.17207578,0.0
2025q4,Comércio,6.148060024021327,3374316549,-0.7,,,0.0
2012q1,Intermediação Financeira,45.32831294069695,2521234716,0.3,0.01377688996396917,34734773.25567106,0.0
2012q2,Intermediação Financeira,43.47970060029653,2675921818,-2.1,0.014079852021663586,37676583.218981,0.0
2012q3,Intermediação Financeira,44.66390708610377,2696978633,1.5,0.013843527258122632,37335697.22050981,0.0
2012q4,Intermediação Financeira,43.40446080093396,2382736204,-0.9,0.014634422059983698,34869967.26693942,0.0
2013q1,Intermediação Financeira,42.9276200228463,2522363070,0.3,0.014328392049637312,36141406.958486766,0.0
2013q2,Intermediação Financeira,42.77344248027904,3176400693,2.9,0.014605186980535112,46391926.04636631,0.0
2013q3,Intermediação Financeira,44.45571845226495,2943923956,0.5,0.014017807650530657,41267359.75299728,0.0
2013q4,Intermediação Financeira,44.135461570013184,2998328309,-0.8,0.014126764113834357,42356676.75707485,0.0
2014q1,Intermediação Financeira,42.82200050424401,2901354986,0.1,0.014476288220621993,42000851.00767469,0.0
2014q2,Intermediação Financeira,43.24858709431869,2947831109,-2.5,0.014122557166828283,41630913.35500731,0.0
2014q3,Intermediação Financeira,42.18604604604595,2886697965,-0.5,0.014628980591519545,42229448.50356396,0.0
2014q4,Intermediação Financeira,43.26565044240226,2992885811,0.8,0.01447907119970143,43334206.75004516,0.0
2015q1,Intermediação Financeira,43.575776165609945,2787749436,-2.1,0.01416458656548503,39487318.20910407,0.0
2015q2,Intermediação Financeira,43.75451300436463,2114583712,-2.8,0.013914166161820016,29422669.131846163,0.0
2015q3,Intermediação Financeira,46.338008015798486,1823807966,-2.0,0.013108033023301798,23906535.04648888,0.0
2015q4,Intermediação Financeira,47.76336439454321,1654338141,-1.7,0.01309709628681012,21667025.923619457,0.0
2016q1,Intermediação Financeira,43.03792630530189,1630658015,-0.2,0.01402187481729871,22864882.556154802,0.0
2016q2,Intermediação Financeira,44.76965117741305,1819934791,-0.6,0.01327246677249955,24155024.041663416,0.0
2016q3,Intermediação Financeira,43.21083929759968,1832561168,-1.0,0.013571564327709418,24870721.775974307,0.0
2016q4,Intermediação Financeira,42.57000523768977,2126829656,-1.7,0.014029948590178186,29839310.733746357,0.0
2017q1,Intermediação Financeira,40.45813359943225,2182272475,0.9,0.014375314757908394,31370853.715644777,0.0
2017q2,Intermediação Financeira,43.73229410990746,2291272951,0.3,0.013274799681707776,30416189.440640435,0.0
2017q3,Intermediação Financeira,41.64991586634351,2452100304,0.3,0.013748221335296384,33712017.71573955,0.0
2017q4,Intermediação Financeira,42.67392726787711,2647083792,1.1,0.013929224230342681,36871823.69527379,0.0
2018q1,Intermediação Financeira,41.72488174677449,2489705612,0.5,0.013916371758717936,34647668.866358355,0.0
2018q2,Intermediação Financeira,42.646573000321574,2640118823,-1.6,0.013732772534584886,36256151.26053497,0.0
2018q3,Intermediação Financeira,41.801993896689766,2587367295,1.1,0.01373013630198912,35524905.623658895,0.0
2018q4,Intermediação Financeira,43.22311972389763,2491772963,-0.5,0.013588858378404413,33860349.905344136,0.0
2019q1,Intermediação Financeira,40.50922880740979,2532575122,-0.9,0.01413659861132793,35801997.952748865,0.0
2019q2,Intermediação Financeira,40.027234723660776,2565062774,0.6,0.014055976583155496,36054462.285667874,0.0
2019q3,Intermediação Financeira,41.4986672203437,2376642871,0.2,0.013799143021748896,32795634.88854891,0.0
2019q4,Intermediação Financeira,43.938554996120125,2503083604,0.1,0.013467442782870136,33710135.217610374,0.0
2020q1,Intermediação Financeira,40.8892716208699,2357524519,-1.9,0.014041828209370107,33103954.295175895,16.942967032967033
2020q2,Intermediação Financeira,46.06563681941588,2014228419,-11.8,0.014868091421962566,29947732.27840712,77.64978021978023
2020q3,Intermediação Financeira,47.12139171232999,2690365501,15.4,0.014512532358351638,39044016.389055416,73.7641304347826
2020q4,Intermediação Financeira,41.86635367670437,2803870802,2.5,0.01588590789246404,44542033.302941285,61.44369565217391
2021q1,Intermediação Financeira,38.90220675923479,2671732039,1.7,0.016011763692119402,42779142.05713234,69.496
2021q2,Intermediação Financeira,39.35349875910707,2580148771,-1.6,0.015331099709943046,39556518.07468801,62.87582417582417
2021q3,Intermediação Financeira,40.55973201735893,2795427895,-1.1,0.01462834118995297,40892473.01997203,55.25532608695652
2021q4,Intermediação Financeira,40.41193261697225,2907096620,-2.7,0.014993747796847527,43588273.54134789,51.5175
2022q1,Intermediação Financeira,37.45054965745948,2938566873,3.3,0.015148055959334978,44513575.432452,37.565666666666665
2022q2,Intermediação Financeira,35.61724529183096,3216294182,1.5,0.015229551690032718,48982718.495120496,29.496923076923075
2022q3,Intermediação Financeira,36.434806918181366,3079200592,0.5,0.015481880516396072,47671815.65136005,24.421739130434784
2022q4,Intermediação Financeira,36.278450015676384,2866615674,-0.6,0.01621144209409972,46471974.00508964,22.22
2023q1,Intermediação Financeira,35.91748814669867,2711131832,0.2,0.01628631543353801,44154348.19785778,0.0
2023q2,Intermediação Financeira,37.03029944390921,2544826275,0.9,0.015699152470978514,39951615.7033773,0.0
2023q3,Intermediação Financeira,37.13186459841968,2556798065,0.7,0.016348668128425996,41800243.03608676,0.0
2023q4,Intermediação Financeira,39.64436697266555,2532091527,1.5,0.015769501458741956,39929821.028694645,0.0
2024q1,Intermediação Financeira,38.41798205950623,2844413599,0.6,0.01588436234217985,45181696.25753985,0.0
2024q2,Intermediação Financeira,39.841832925325505,2904596545,0.5,0.015300371314706436,44441405.657913424,0.0
2024q3,Intermediação Financeira,39.82397165647628,3303829108,0.7,0.015629400860243524,51636869.50267279,0.0
2024q4,Intermediação Financeira,41.7032111021718,2902963725,0.4,0.015093856144243694,43816916.85710781,0.0
2025q1,Intermediação Financeira,37.59789429183682,2941039990,0.1,0.015956687600201757,46929256.3401305,0.0
2025q2,Intermediação Financeira,36.94963808525544,2751417297,0.6,0.01620647169958863,44590766.55758914,0.0
2025q3,Intermediação Financeira,38.53255936522224,3149891124,0.6,0.015714984592397632,49500490.48139006,0.0
2025q4,Intermediação Financeira,40.13323610850129,3374316549,-0.7,,,0.0
2012q1,Outros Serviços,5.554439482097426,2521234716,0.3,0.11070061856734227,279102242.6146575,0.0
2012q2,Outros Serviços,5.790111308153887,2675921818,-2.1,0.10927590524198698,292413779.0187335,0.0
2012q3,Outros Serviços,5.863402997417075,2696978633,1.5,0.11066207301997291,298453246.4183527,0.0
2012q4,Outros Serviços,6.174225840061996,2382736204,-0.9,0.10942621641804164,260733807.526007,0.0
2013q1,Outros Serviços,5.655375119417294,2522363070,0.3,0.11111724074252866,280278024.48925364,0.0
2013q2,Outros Serviços,5.817465972022738,3176400693,2.9,0.10862009496792786,345020944.9298519,0.0
2013q3,Outros Serviços,5.906944545097087,2943923956,0.5,0.10867478747162587,319930310.2509281,0.0
2013q4,Outros Serviços,6.082950431391185,2998328309,-0.8,0.10837214529798304,324935271.1540038,0.0
2014q1,Outros Serviços,5.684224760600106,2901354986,0.1,0.10893592892703684,316061800.54699993,0.0
2014q2,Outros Serviços,5.734706154089994,2947831109,-2.5,0.10905193101454344,321466674.74119306,0.0
2014q3,Outros Serviços,5.7266716373597335,2886697965,-0.5,0.10998571818712843,317495548.8698471,0.0
2014q4,Outros Serviços,5.80982971356353,2992885811,0.8,0.10834384453578036,324260755.0203269,0.0
2015q1,Outros Serviços,5.48118689628172,2787749436,-2.1,0.10913619147709741,304244356.23746634,0.0
2015q2,Outros Serviços,5.478560903299965,2114583712,-2.8,0.10889551601473775,230268684.4745996,0.0
2015q3,Outros Serviços,5.4434624488651915,1823807966,-2.0,0.10989554066272339,200428362.48855183,0.0
2015q4,Outros Serviços,5.610217712155797,1654338141,-1.7,0.1128593905667502,186707594.38459048,0.0
2016q1,Outros Serviços,5.359792842071396,1630658015,-0.2,0.11384622820570794,185644264.50115672,0.0
2016q2,Outros Serviços,5.434250377371557,1819934791,-0.6,0.11396272698534339,207404731.717861,0.0
2016q3,Outros Serviços,5.477971510292515,1832561168,-1.0,0.11575030872642693,212119520.9560615,0.0
2016q4,Outros Serviços,5.545378580324175,2126829656,-1.7,0.11479181127686838,244142628.4895989,0.0
2017q1,Outros Serviços,5.244319769614192,2182272475,0.9,0.11470591377832988,250319558.35817254,0.0
2017q2,Outros Serviços,5.361835714968258,2291272951,0.3,0.11623367717340441,266323080.50268766,0.0
2017q3,Outros Serviços,5.372202827831957,2452100304,0.3,0.11615687645943602,284828312.0778735,0.0
