Trimestre_Cod,Setor_Cod,Setor_Nome,VAB_Indice_Volume
202103,90703,"Administração, saúde e educação públicas e seguridade social",1.1
202104,90697,Comércio,0.6
202104,90698,"Transporte, armazenagem e correio",2.4
202104,90699,Informação e comunicação,3.1
202104,90700,"Atividades financeiras, de seguros e serviços relacionados",1.6
202104,90702,Atividades imobiliárias,1.0
202104,90701,Outras atividades de serviços,0.6
202104,90703,"Administração, saúde e educação públicas e seguridade social",1.7
202201,90697,Comércio,-0.4
202201,90698,"Transporte, armazenagem e correio",3.6
202201,90699,Informação e comunicação,-3.0
202201,90700,"Atividades financeiras, de seguros e serviços relacionados",-1.9
202201,90702,Atividades imobiliárias,-0.4
202201,90701,Outras atividades de serviços,4.5
202201,90703,"Administração, saúde e educação públicas e seguridade social",0.4
202202,90697,Comércio,1.6
202202,90698,"Transporte, armazenagem e correio",1.9
202202,90699,Informação e comunicação,2.8
202202,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.2
202202,90702,Atividades imobiliárias,0.9
202202,90701,Outras atividades de serviços,3.1
202202,90703,"Administração, saúde e educação públicas e seguridade social",-1.5
202203,90697,Comércio,0.1
202203,90698,"Transporte, armazenagem e correio",1.5
202203,90699,Informação e comunicação,3.1
202203,90700,"Atividades financeiras, de seguros e serviços relacionados",2.0
202203,90702,Atividades imobiliárias,0.9
202203,90701,Outras atividades de serviços,2.3
202203,90703,"Administração, saúde e educação públicas e seguridade social",1.2
202204,90697,Comércio,-0.2
202204,90698,"Transporte, armazenagem e correio",1.3
202204,90699,Informação e comunicação,1.9
202204,90700,"Atividades financeiras, de seguros e serviços relacionados",1.4
202204,90702,Atividades imobiliárias,1.0
202204,90701,Outras atividades de serviços,0.2
202204,90703,"Administração, saúde e educação públicas e seguridade social",-0.5
202301,90697,Comércio,0.3
202301,90698,"Transporte, armazenagem e correio",0.2
202301,90699,Informação e comunicação,-1.6
202301,90700,"Atividades financeiras, de seguros e serviços relacionados",3.0
202301,90702,Atividades imobiliárias,0.3
202301,90701,Outras atividades de serviços,-0.1
202301,90703,"Administração, saúde e educação públicas e seguridade social",1.1
202302,90697,Comércio,0.3
202302,90698,"Transporte, armazenagem e correio",1.2
202302,90699,Informação e comunicação,1.0
202302,90700,"Atividades financeiras, de seguros e serviços relacionados",1.3
202302,90702,Atividades imobiliárias,0.6
202302,90701,Outras atividades de serviços,0.8
202302,90703,"Administração, saúde e educação públicas e seguridade social",0.7
202303,90697,Comércio,0.2
202303,90698,"Transporte, armazenagem e correio",-1.2
202303,90699,Informação e comunicação,0.1
202303,90700,"Atividades financeiras, de seguros e serviços relacionados",1.7
202303,90702,Atividades imobiliárias,1.1
202303,90701,Outras atividades de serviços,0.8
202303,90703,"Administração, saúde e educação públicas e seguridade social",0.2
202304,90697,Comércio,-0.5
202304,90698,"Transporte, armazenagem e correio",-1.1
202304,90699,Informação e comunicação,0.8
202304,90700,"Atividades financeiras, de seguros e serviços relacionados",1.9
202304,90702,Atividades imobiliárias,0.6
202304,90701,Outras atividades de serviços,1.4
202304,90703,"Administração, saúde e educação públicas e seguridade social",-0.1
202401,90697,Comércio,2.7
202401,90698,"Transporte, armazenagem e correio",2.0
202401,90699,Informação e comunicação,2.6
202401,90700,"Atividades financeiras, de seguros e serviços relacionados",0.9
202401,90702,Atividades imobiliárias,1.1
202401,90701,Outras atividades de serviços,1.3
202401,90703,"Administração, saúde e educação públicas e seguridade social",0.2
202402,90697,Comércio,1.3
202402,90698,"Transporte, armazenagem e correio",0.4
202402,90699,Informação e comunicação,1.7
202402,90700,"Atividades financeiras, de seguros e serviços relacionados",1.5
202402,90702,Atividades imobiliárias,0.7
202402,90701,Outras atividades de serviços,1.5
202402,90703,"Administração, saúde e educação públicas e seguridade social",1.2
202403,90697,Comércio,0.5
202403,90698,"Transporte, armazenagem e correio",0.4
202403,90699,Informação e comunicação,2.5
202403,90700,"Atividades financeiras, de seguros e serviços relacionados",1.7
202403,90702,Atividades imobiliárias,0.7
202403,90701,Outras atividades de serviços,1.6
202403,90703,"Administração, saúde e educação públicas e seguridade social",0.4
202404,90697,Comércio,0.2
202404,90698,"Transporte, armazenagem e correio",0.8
202404,90699,Informação e comunicação,-0.5
202404,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.4
202404,90702,Atividades imobiliárias,0.1
202404,90701,Outras atividades de serviços,-0.3
202404,90703,"Administração, saúde e educação públicas e seguridade social",-0.3
202501,90697,Comércio,0.4
202501,90698,"Transporte, armazenagem e correio",-0.4
202501,90699,Informação e comunicação,2.9
202501,90700,"Atividades financeiras, de seguros e serviços relacionados",0.6
202501,90702,Atividades imobiliárias,0.4
202501,90701,Outras atividades de serviços,0.6
202501,90703,"Administração, saúde e educação públicas e seguridade social",0.3
202502,90697,Comércio,-0.1
202502,90698,"Transporte, armazenagem e correio",1.0
