Trimestre,Setor,Estoque_Total_Setor,Estoque_TI_Setor
2015q3,Comércio,2804332.7087666187,2732.4830533199997
2015q3,Intermediação Financeira,1208575.3156125394,40083.075372430008
2015q3,Outros Serviços,10132491.847156351,40052.907194739993
2015q3,Serviço de Informação,1435350.1311008106,448355.21717736014
2015q3,Serviços Imobiliários,580926.69041146,1000.1932959
2015q3,Transporte,4316373.7137852805,16077.7917695
2015q4,APU,15383927.166750191,123664.57915668002
2015q4,Comércio,2859792.4377175206,4628.94592894
2015q4,Intermediação Financeira,1209720.09800031,42908.40276986
2015q4,Outros Serviços,10424316.20161178,50915.969866850013
2015q4,Serviço de Informação,1318100.4756017695,433608.68789685011
2015q4,Serviços Imobiliários,573625.4683306,1520.07303519
2015q4,Transporte,4552583.6173925819,14405.317870539999
2016q1,APU,15039670.293394255,114040.90767338999
2016q1,Comércio,2883580.4484577,7476.3249118800013
2016q1,Intermediação Financeira,1271900.0101534196,47482.4994487
2016q1,Outros Serviços,10326794.433518142,45585.824301340006
2016q1,Serviço de Informação,1309083.6688605,430369.67128778
2016q1,Serviços Imobiliários,564759.36080262985,1322.10417885
2016q1,Transporte,4520620.3846513592,11376.140718379997
2016q2,APU,15421747.871051734,122490.51494014
2016q2,Comércio,2855446.1527220802,8452.93142587
2016q2,Intermediação Financeira,1203455.4313283395,61422.895981010013
2016q2,Outros Serviços,10333351.373964041,53026.449575779996
2016q2,Serviço de Informação,1306512.18607096,434413.05138516997
2016q2,Serviços Imobiliários,520296.53672771016,738.76641722
2016q2,Transporte,4523967.6092934785,11502.92568462
2016q3,APU,15478183.019458961,116883.31961472999
2016q3,Comércio,2798308.8527226415,10392.51844697
2016q3,Intermediação Financeira,1219017.5754097998,52648.042053060009
2016q3,Outros Serviços,10396860.471606342,43376.279483749982
2016q3,Serviço de Informação,1334204.3127446994,440944.17251687
2016q3,Serviços Imobiliários,527956.70925566985,1851.8239201499998
2016q3,Transporte,4524808.5033592591,14645.67549102
2016q4,APU,15221547.280341994,127258.69484476
2016q4,Comércio,2819292.0924522295,10023.00154262
2016q4,Intermediação Financeira,1265138.8682845102,56097.74153811
2016q4,Outros Serviços,10351255.478499357,36819.31683863
2016q4,Serviço de Informação,1367003.7455943495,456230.35359508
2016q4,Serviços Imobiliários,575177.76041788,1461.34192019
2016q4,Transporte,4639659.7424617689,11207.2966244
2017q1,APU,14743344.719438292,119356.28833150005
2017q1,Comércio,2780082.2627686807,7397.9905430200006
2017q1,Intermediação Financeira,1277188.4823583097,55974.59080462
2017q1,Outros Serviços,10191155.769683069,40970.052513040006
2017q1,Serviço de Informação,1323313.0899353004,451768.39270846982
2017q1,Serviços Imobiliários,590594.10449336993,967.45409626
2017q1,Transporte,4529426.4300382324,13614.478696999999
2017q2,APU,15247365.271338731,113865.21254264
2017q2,Comércio,2732622.84412077,9510.3687168
2017q2,Intermediação Financeira,1197295.3626802396,53728.036504769996
2017q2,Outros Serviços,10483475.90952768,46919.705487169995
2017q2,Serviço de Informação,1315780.5797316502,455586.10163356009
2017q2,Serviços Imobiliários,543429.04482095991,1544.39804849
2017q2,Transporte,4648094.25465117,14210.93645039
2017q3,APU,15489465.252918456,111922.76336889998
2017q3,Comércio,2811012.6508655404,11053.159950899999
2017q3,Intermediação Financeira,1254775.5078625695,65119.08206025
2017q3,Outros Serviços,10601429.821101762,30637.400574160005
2017q3,Serviço de Informação,1425663.1607004006,483922.44959302992
2017q3,Serviços Imobiliários,562298.10761062,807.59435604
2017q3,Transporte,4647191.14138671,14376.702099809998
2017q4,APU,15497595.987560796,112299.52919507999
2017q4,Comércio,2869726.879325571,8796.08724649
2017q4,Intermediação Financeira,1284670.50922208,66715.595611689991
2017q4,Outros Serviços,10969496.061237983,35769.490592909991
2017q4,Serviço de Informação,1355450.1015567502,475470.35396454023
2017q4,Serviços Imobiliários,551108.52802607,1707.50507904
2017q4,Transporte,4597623.8732517716,15909.703396370001
2018q1,APU,15270951.418405553,113576.51776983001
2018q1,Comércio,2890848.7565973215,6911.6758825
2018q1,Intermediação Financeira,1264703.10346062,70225.32604033
2018q1,Outros Serviços,10797812.779423313,33684.607915699991
2018q1,Serviço de Informação,1324201.0092092606,475565.59622343007
2018q1,Serviços Imobiliários,545293.38256219006,862.98788074
2018q1,Transporte,4659374.5778882392,15918.97319462
2018q2,APU,15813204.873632045,94484.485915700017
2018q2,Comércio,2759069.9517886504,6462.81899424
2018q2,Intermediação Financeira,1256022.9247005198,59183.902964959991
