Setor,Trimestre,Period,d_ln_Produtividade,Impacto_tech_setor,d_ln_Cambio,d_Selic,VAB_Industria_Volume,Share_2012q1,d_ln_PPI_Semi
Serviço de Informação,2015q1,2015-01-01,-0.0373762988391126,-0.001056140501038,0.1177350169727408,0.966666666666665,-2.1,0.0148744935445126,-0.0011357184639271267
Serviço de Informação,2015q2,2015-04-01,-0.032750477946486,-0.0041109626948182,0.070384187388818,0.9533333333333333,-2.8,0.0148744935445126,-0.0022753138371358617
Serviço de Informação,2015q3,2015-07-01,-0.0489237197905501,-0.0022004040941044,0.143980752105993,0.860000000000003,-2.0,0.0148744935445126,-0.005138464061005266
Serviço de Informação,2015q4,2015-10-01,0.1482688541918513,-0.0014506437629438,0.0797658766568645,0.1533333333333324,-1.7,0.0148744935445126,-0.002866152721608728
Serviço de Informação,2016q1,2016-01-01,-0.0513343821732474,-0.0002144513818672,0.0173968279015088,0.0,-0.2,0.0148744935445126,-0.007490671729157405
Serviço de Informação,2016q2,2016-04-01,-0.0035079232007482,0.0016334729683433,-0.1079593239456664,0.0,-0.6,0.0148744935445126,-0.002316156217830212
Serviço de Informação,2016q3,2016-07-01,-0.0060610131075455,0.0001028402021093,-0.0777746983075766,0.0,-1.0,0.0148744935445126,-0.00348432408261079
Serviço de Informação,2016q4,2016-10-01,0.0044913129179899,0.0022150785318093,0.0141069927539037,-0.2833333333333332,-1.7,0.0148744935445126,-0.007005282588409045
Serviço de Informação,2017q1,2017-01-01,-0.0054806957333615,0.0003827847845253,-0.0467644039242707,-1.1533333333333342,0.9,0.0148744935445126,0.007586847013058673
Serviço de Informação,2017q2,2017-04-01,0.0030217006653336,0.000724994467161,0.022276980754688,-1.75,0.3,0.0148744935445126,0.0029027596579611625
Serviço de Informação,2017q3,2017-07-01,-0.068226434268749,0.0010090467798767,-0.0156069420199813,-1.793333333333333,0.3,0.0148744935445126,-0.02049852154834131
Serviço de Informação,2017q4,2017-10-01,0.1231186169469022,0.0011381018517608,0.0260694902542464,-1.7000000000000002,1.1,0.0148744935445126,-0.005934735519813827
Serviço de Informação,2018q1,2018-01-01,-0.0574543269049923,-0.0009117187368359,-0.0011502635576929,-0.7366666666666664,0.5,0.0148744935445126,0.004158010148663571
Serviço de Informação,2018q2,2018-04-01,0.0227432526954332,0.0008725296026567,0.1057529863893771,-0.3333333333333321,-1.6,0.0148744935445126,0.0005925926099337175
Serviço de Informação,2018q3,2018-07-01,-0.0551614953754366,-0.0003002127144301,0.0933432898754682,0.0,1.1,0.0148744935445126,-0.008925974169078366
Serviço de Informação,2018q4,2018-10-01,0.0691448462944994,-0.0005599708345775,-0.038184795471472,0.0,-0.5,0.0148744935445126,-0.0029931180681321834
Serviço de Informação,2019q1,2019-01-01,-0.0877585342874818,0.000241593449578,-0.0104125468079521,0.0,-0.9,0.0148744935445126,-0.009033485097667437
Serviço de Informação,2019q2,2019-04-01,0.0353410760540109,0.0001895952291557,0.0385598504670683,0.0,0.6,0.0148744935445126,0.001813237124181022
Serviço de Informação,2019q3,2019-07-01,0.001567738730257,-0.0011348348798859,0.0138784943535894,-0.3966666666666674,0.2,0.0148744935445126,0.005420067469338541
Serviço de Informação,2019q4,2019-10-01,0.0510689105191999,0.000771011636715,0.0355251239156133,-1.0466666666666669,0.1,0.0148744935445126,0.0006004203122440543
Serviço de Informação,2020q1,2020-01-01,-0.1353542079404306,-0.0008911499106318,0.079532534568028,-0.7766666666666664,-1.9,0.0148744935445126,-0.0006004203122440543
Serviço de Informação,2020q2,2020-04-01,0.0539641884572499,-0.0023408872911314,0.1895430957543946,-1.1000000000000003,-11.8,0.0148744935445126,-0.010869672236903938
Serviço de Informação,2020q3,2020-07-01,-0.0080126310497954,0.0043052861278061,-0.0015291043482092,-1.0833333333333333,15.4,0.0148744935445126,-0.0042592093593958325
Serviço de Informação,2020q4,2020-10-01,0.1082470625407641,0.0006146710935867,0.0029879298816946,-0.0966666666666671,2.5,0.0148744935445126,-0.013505423199807076
Serviço de Informação,2021q1,2021-01-01,-0.0903283698206895,-0.0007180501999279,0.0140826664952613,0.1100000000000001,1.7,0.0148744935445126,0.004316997145400681
Serviço de Informação,2021q2,2021-04-01,-0.0132909424716487,-0.0005188209275684,-0.0330454567971429,1.2233333333333332,-1.6,0.0148744935445126,0.005523180656110682
Serviço de Informação,2021q3,2021-07-01,0.0587387429283481,0.0011920140596238,-0.0124790997761965,1.6300000000000003,-1.1,0.0148744935445126,0.004817020874583466
Serviço de Informação,2021q4,2021-10-01,-0.011983416450513,0.0005826290054258,0.0653942974104895,2.706666666666667,-2.7,0.0148744935445126,0.008665728395902406
Serviço de Informação,2022q1,2022-01-01,-0.0871510020436994,0.0001601558481688,-0.0646933747126794,2.693333333333334,3.3,0.0148744935445126,0.022744126119000008
Serviço de Informação,2022q2,2022-04-01,-0.0417090140745575,0.0013432830453689,-0.0615267522794715,2.086666666666666,1.5,0.0148744935445126,0.003535071554701119
Serviço de Informação,2022q3,2022-07-01,0.1207654773838617,-0.0006479300589565,0.0646621392188204,1.1100000000000012,0.5,0.0148744935445126,0.0013518042765481297
